,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Statistical Parity Diff,Equal Opportunity Diff,Avg Abs Odds Diff,Disparate Impact,Theil Index
Logistic Regression,0.7634,0.5172,0.7572,0.6145,0.8468,0.2486,0.3127,0.2174,2.2663,1.0092
Random Forest,0.8044,0.5706,0.8671,0.6883,0.9135,0.3423,0.1262,0.1827,3.3311,0.9721
Decision Tree,0.7998,0.5643,0.8598,0.6813,0.898,0.338,0.1285,0.1825,3.2997,0.9697
SVM,0.795,0.5576,0.8559,0.6753,0.8959,0.3344,0.126,0.1802,3.1408,0.962
Naive Bayes,0.7938,0.6823,0.3213,0.4367,0.8566,0.0763,0.0064,0.0313,2.1812,2.144
XGBoost,0.8703,0.7808,0.6662,0.7189,0.9264,0.1811,0.067,0.0648,3.0159,1.5492
